,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
89,Eastern Africa,2004,0.137134046,0.152603772,0.172186073,12061445,1654034.75,1840622,2076812.85
90,Eastern Africa,2005,0.136444343,0.15178711,0.171204417,12296110,1677734.65,1866391,2105148.35
91,Eastern Africa,2006,0.135718528,0.151020114,0.170333227,12496746,1696039.975,1887260,2128611.075
92,Eastern Africa,2007,0.135115575,0.150324939,0.169449862,12701013,1716104.675,1909279,2152184.9
93,Eastern Africa,2008,0.134557877,0.149669845,0.168639473,12896813,1735367.775,1930264,2174911.75
94,Eastern Africa,2009,0.13415293,0.149086312,0.1679319,13074433,1753973.5,1949219,2195614.375
95,Eastern Africa,2010,0.133633524,0.148556383,0.167315378,13245651,1770063.025,1967726,2216201.1
96,Eastern Africa,2011,0.13298,0.147974031,0.166808177,13388998,1780468.95,1981224,2233394.35
97,Eastern Africa,2012,0.132364702,0.147312637,0.166212227,13464276,1782194.875,1983458,2237927.3
98,Eastern Africa,2013,0.131630044,0.146412392,0.165199317,13616204,1792301.525,1993581,2249387.6
99,Eastern Africa,2014,0.130716402,0.145488035,0.16428378,13784137,1801812.8,2005427,2264510.125
100,Eastern Africa,2015,0.12983811,0.144588529,0.163308018,13979802,1815111.075,2021319,2283013.75
101,Eastern Africa,2016,0.128916045,0.143679824,0.162412386,14189675,1829276.775,2038770,2304578.975
102,Eastern Africa,2017,0.128043844,0.142759943,0.161375431,14387110,1842180.875,2053903,2321726.075
103,Eastern Africa,2018,0.127199089,0.141899079,0.160437196,14599827,1857084.7,2071702,2342355.3
104,Eastern Africa,2019,0.126460682,0.141187934,0.159802919,14854173,1878468.85,2097230,2373740.2
105,Eastern Africa,2020,0.125714899,0.140495607,0.159163736,15081774,1896003.7,2118923,2400471.5
106,Eastern Asia,2000,0.053827205,0.061447501,0.070736141,19655950,1058024.85,1207809,1390386.05
107,Eastern Asia,2001,0.05410817,0.061254597,0.069913615,18638846,1008513.85,1141715,1303109.1
108,Eastern Asia,2002,0.054084639,0.060822374,0.068814289,18399216,995114.95,1119084,1266128.975
109,Eastern Asia,2003,0.053892327,0.060196153,0.067637081,18231248,982524.375,1097451,1233108.4
110,Eastern Asia,2004,0.053629187,0.059503393,0.066357292,18470661,990566.525,1099067,1225663.05
111,Eastern Asia,2005,0.053257552,0.058761947,0.06511057,18595895,990371.85,1092731,1210789.325
112,Eastern Asia,2006,0.052991912,0.058157368,0.064020912,18892361,1001142.325,1098730,1209506.175
113,Eastern Asia,2007,0.05262557,0.057513172,0.0629754,19267708,1013974.125,1108147,1213391.625
114,Eastern Asia,2008,0.052268214,0.056929658,0.062152816,19763934,1033025.525,1125154,1228384.15
115,Eastern Asia,2009,0.051860286,0.056356685,0.061344333,20029922,1038757.475,1128820,1228722.2
116,Eastern Asia,2010,0.051593068,0.055985019,0.060859126,19867029,1025000.975,1112256,1209090.025
117,Eastern Asia,2011,0.051319116,0.055694855,0.06053766,19740854,1013083.175,1099464,1195065.1
118,Eastern Asia,2012,0.05076348,0.055174413,0.060135587,21152921,1073795.875,1167100,1272043.325
119,Eastern Asia,2013,0.050661042,0.055142578,0.060240211,20155913,1021119.55,1111449,1214196.45
120,Eastern Asia,2014,0.0500651,0.054766496,0.060113949,20587094,1030694.925,1127483,1237571.525
121,Eastern Asia,2015,0.049914485,0.054822378,0.060399769,19313263,964011.575,1058799,1166516.625
122,Eastern Asia,2016,0.049157091,0.05431896,0.060243985,20093923,987758.8,1091481,1210538
123,Eastern Asia,2017,0.048391759,0.053858933,0.060166686,20125575,973911.975,1083942,1210889.15
124,Eastern Asia,2018,0.048516713,0.054295546,0.060935182,17139822,831567.825,930616,1044418.175
125,Eastern Asia,2019,0.048268487,0.054401083,0.061468918,16200137,781956.1,881305,995804.9
126,Eastern Asia,2020,0.048890441,0.055323885,0.062788679,13783920,673901.925,762580,865474.125
127,Eastern Europe,2000,0.066942613,0.074044682,0.082706686,2754553,184396.975,203960,227819.95
128,Eastern Europe,2001,0.066667944,0.07359966,0.08199884,2778396,185229.95,204489,227825.25
129,Eastern Europe,2002,0.06647369,0.073173769,0.081243547,2851172,189527.925,208631,231639.325
130,Eastern Europe,2003,0.066306273,0.07269044,0.080322829,2930688,194323,213033,235401.15
131,Eastern Europe,2004,0.066194284,0.072171798,0.079284819,2999759,198566.9,216498,237835.35
132,Eastern Europe,2005,0.066256959,0.071741919,0.078219089,3015364,199788.85,216328,235859.025
133,Eastern Europe,2006,0.066150891,0.071212584,0.077114646,3096405,204829.95,220503,238778.175
134,Eastern Europe,2007,0.066074047,0.070873389,0.076368803,3233428,213645.675,229164,246933.025
135,Eastern Europe,2008,0.066221706,0.070698632,0.075763257,3412414,225975.875,241253,258535.6
136,Eastern Europe,2009,0.066511728,0.070688527,0.075390074,3491005,232192.775,246774,263187.125
137,Eastern Europe,2010,0.066634778,0.070608046,0.07508858,3482436,232051.35,245888,261491.175
