regionName2,year,estL,est,estU,wpp_lb,estNL,estN,estNU
Europe,2019,0.070091853,0.07133705,0.072715621,7085000,496600.775,505423,515190.175
Europe,2020,0.070016546,0.0713854,0.072906651,6916022,484235.975,493703,504224
Latin America and the Caribbean,2010,0.084179921,0.088577013,0.094771056,10790610,908352.7,955800,1022637.5
Latin America and the Caribbean,2011,0.084240007,0.088525367,0.094598065,10790105,908958.525,955198,1020723.05
Latin America and the Caribbean,2012,0.084166664,0.088433333,0.094472531,10717124,902024.575,947751,1012473.825
Latin America and the Caribbean,2013,0.084209308,0.08840668,0.094394416,10661208,897772.95,942522,1006358.5
Latin America and the Caribbean,2014,0.084502039,0.088624251,0.094548505,10635678,898736.475,942579,1005587.45
Latin America and the Caribbean,2015,0.08472774,0.088811756,0.094755902,10575717,896056.6,939248,1002111.6
Latin America and the Caribbean,2016,0.084472604,0.088635393,0.094630094,10365893,875633.975,918785,980925.425
Latin America and the Caribbean,2017,0.084673316,0.088813959,0.094774491,10320416,873863.85,916597,978112.175
Latin America and the Caribbean,2018,0.084751806,0.088939983,0.09497585,10218610,866045.65,908843,970521.175
Latin America and the Caribbean,2019,0.084653924,0.088919662,0.095017109,9990119,845702.775,888318,949232.225
Latin America and the Caribbean,2020,0.08434573,0.088723779,0.094992458,9804756,826989.3,869915,931377.875
Northern America,2010,0.092236552,0.095521326,0.098901105,4409497,406716.8,421201,436104.125
Northern America,2011,0.092921844,0.095754765,0.098659952,4360253,405162.75,417515,430182.35
Northern America,2012,0.093561444,0.0959978,0.098479786,4360652,407988.9,418613,429436.075
Northern America,2013,0.094126568,0.096252651,0.098430267,4342457,408740.575,417973,427429.2
Northern America,2014,0.094565354,0.096520323,0.09849377,4382217,414405.9,422973,431621.075
Northern America,2015,0.094838714,0.096805535,0.098746195,4367085,414168.725,422758,431233.025
Northern America,2016,0.094917007,0.097053514,0.099123672,4326747,410681.875,419926,428883.05
Northern America,2017,0.094846622,0.097242037,0.09963417,4243566,402487.9,412653,422804.175
Northern America,2018,0.094686133,0.097482972,0.100283364,4170513,394889.75,406554,418233.075
Northern America,2019,0.094495104,0.097731603,0.101012779,4120223,389340.9,402676,416195.175
Northern America,2020,0.094201021,0.097898884,0.101693017,4040996,380665.95,395609,410941.075
Oceania,2010,0.068987368,0.082203165,0.103009108,658235,45409.9,54109,67804.2
Oceania,2011,0.06904923,0.082370338,0.10327292,660007,45572.975,54365,68160.85
Oceania,2012,0.069244898,0.082482081,0.103229057,669406,46352.95,55214,69102.15
Oceania,2013,0.069277112,0.082682412,0.103604058,669308,46367.725,55340,69343.025
Oceania,2014,0.069239758,0.082843014,0.104184877,664703,46023.875,55066,69252
Oceania,2015,0.069397834,0.082928967,0.103985677,675337,46866.925,56005,70225.375
Oceania,2016,0.069569252,0.083070486,0.104182837,679736,47288.725,56466,70816.825
Oceania,2017,0.069677865,0.083158809,0.104395282,685195,47742.925,56980,71531.125
Oceania,2018,0.069816051,0.083322258,0.10468908,692204,48326.95,57676,72466.2
Oceania,2019,0.069656538,0.083403944,0.105285646,684500,47679.9,57090,72068.025
Oceania,2020,0.069501877,0.083577468,0.105947491,677563,47091.9,56629,71786.1
